Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",Workers in Room A: 12,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 6 workers in Room B lived.

The ","The 6 workers in Room B died. 

The 12 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,179.05773989999943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.07350399999996,None,,,,,,,,,,,,,,,y,1.6826935999997659,175.34790260000045,None,177.05636159999995,None,175.34790260000045,None,175.34790260000045,None,175.34790260000045,None,175.34790260000045,None,175.34790260000045,None,175.34790260000045,None,175.34790260000045,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Workers in Room A: 5,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 5 workers in Room A were saved.",5,65, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,190.95096139999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.966215800001,None,,,,,,,,,,,,,,,y,1.8451174000001629,187.0737635000005,None,188.94958390000102,None,187.0737635000005,None,187.0737635000005,None,187.0737635000005,None,187.0737635000005,None,187.0737635000005,None,187.0737635000005,None,187.0737635000005,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,EMPHASIZE,DE-EMPHASIZE,"• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,196.95595660000072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.00233649999973,None,space,3.2604319999991276,199.00233649999973,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board",People on bus: 9,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 6 people in the car lived.

The ","The 6 people in the car died. 

The 9 people on the bus were saved.",9,65, people on the bus,People in the car: 6,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.32149170000048,None,space,1.9252364999993006,202.32149170000048,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,EMPHASIZE,DE-EMPHASIZE,"• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed",People on bus: 6,"Probability bus will 
drive to safety: 50%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 6 people on the bus were saved.",6,35, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.3130708000008,None,space,0.8140297999998438,204.3130708000008,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",People on bus: 10,"Probability bus will 
drive to safety: 65%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 7 people in the car lived.

The ","The 7 people in the car died. 

The 10 people on the bus were saved.",10,65, people on the bus,People in the car: 7,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.1717776000005,None,space,0.7068507000003592,205.1717776000005,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 4 people in the car lived.

The ","The 4 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 4,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.90628660000039,None,space,0.836273999999321,205.90628660000039,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,EMPHASIZE,DE-EMPHASIZE,"• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,222.5437949999996,None,,,,,,,208.76576690000002,None,,,,,,,,,,,,,,,,,,,,,224.56013019999955,None,,,,,,,,,,,,,,,n,1.7166008000003785,218.8021659999995,None,220.54230869999992,None,218.8021659999995,None,218.8021659999995,None,218.8021659999995,None,218.8021659999995,None,218.8021659999995,None,218.8021659999995,None,218.8021659999995,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board",People on bus: 9,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 6 people in the car lived.

The ","The 6 people in the car died. 

The 9 people on the bus were saved.",9,65, people on the bus,People in the car: 6,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,239.32419420000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.34029999999984,None,,,,,,,,,,,,,,,y,6.750213700001041,230.55263820000073,None,237.32286589999967,None,230.55263820000073,None,230.55263820000073,None,230.55263820000073,None,230.55263820000073,None,230.55263820000073,None,230.55263820000073,None,230.55263820000073,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,EMPHASIZE,DE-EMPHASIZE,"• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed",People on bus: 6,"Probability bus will 
drive to safety: 50%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 6 people on the bus were saved.",6,35, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,251.5845386000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.59983250000005,None,,,,,,,,,,,,,,,n,2.2190702999996574,247.33945370000038,None,249.58317999999963,None,247.33945370000038,None,247.33945370000038,None,247.33945370000038,None,247.33945370000038,None,247.33945370000038,None,247.33945370000038,None,247.33945370000038,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",People on bus: 10,"Probability bus will 
drive to safety: 65%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 7 people in the car lived.

The ","The 7 people in the car died. 

The 10 people on the bus were saved.",10,65, people on the bus,People in the car: 7,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,290.4169681000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.4322819000008,None,,,,,,,,,,,,,,,n,28.790353099999265,259.60012260000076,None,288.4152288999994,None,259.60012260000076,None,259.60012260000076,None,259.60012260000076,None,259.60012260000076,None,259.60012260000076,None,259.60012260000076,None,259.60012260000076,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 4 people in the car lived.

The ","The 4 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 4,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,303.5777309999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.5938210000004,None,,,,,,,,,,,,,,,y,3.1258366000001843,298.43268870000065,None,301.5762185000003,None,298.43268870000065,None,298.43268870000065,None,298.43268870000065,None,298.43268870000065,None,298.43268870000065,None,298.43268870000065,None,298.43268870000065,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• You are driving a rescue boat in the ocean, heading east towards a group of drowning people

• You receive a distress signal informing you that a small boat has capsized in the opposite direction",People drowning in the west: 11,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the group, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 5 people in the east lived.

The ","The 5 people in the east died.

The 11 people in the west were saved.",11,50, people drowing in the west,People drowning in the east: 5,015:019,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,309.5828665000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.6541309999993,None,space,4.432580099999541,311.6541309999993,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• All of the people aboard the capsized boat are now drowning

• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them",People drowning in the west: 10,"Probability of alternate 
rescue boat reaching them: 35%","Plan: Change your course to head towards the group, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 10 people in the west were saved.",10,65, people drowing in the west,People drowning in the east: 6,015:019,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.1300840999993,None,space,3.2205543000000034,316.1300840999993,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• However, if you do this, the people drowning in the east will certainly die

• If you do nothing and hold your course, the people in the east will be saved, but you will not reach the people to the west in time to save them",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the group, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 3 people in the east lived.

The ","The 3 people in the east died.

The 8 people in the west were saved.",8,50, people drowing in the west,People drowning in the east: 3,015:019,,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.4047762000009,None,space,6.249859100000322,319.4047762000009,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the only other rescue boat in the area is much further to the west, so would be unable to reach the people in the east

• But there is a chance the rescue boat will reach the group drowning to the west",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 65%","Plan: Change your course to head towards the group, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 2 people in the east lived.

The ","The 2 people in the east died.

The 8 people in the west were saved.",8,35, people drowing in the west,People drowning in the east: 2,015:019,,,,,,,,,,,,,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.7001478000002,None,space,5.938312999998743,325.7001478000002,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• You are driving a rescue boat in the ocean, heading east towards a group of drowning people

• You receive a distress signal informing you that a small boat has capsized in the opposite direction",People drowning in the west: 11,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the group, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 5 people in the east lived.

The ","The 5 people in the east died.

The 11 people in the west were saved.",11,50, people drowing in the west,People drowning in the east: 5,015:019,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,415.9211971000004,None,,,,,,,333.66934299999957,None,,,,,,,,,,,,,,,,,,,,,417.938309000001,None,,,,,,,,,,,,,,,n,70.18904830000065,343.70543420000104,None,413.9194387000007,None,343.70543420000104,None,343.70543420000104,None,343.70543420000104,None,343.70543420000104,None,343.70543420000104,None,343.70543420000104,None,343.70543420000104,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• All of the people aboard the capsized boat are now drowning

• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them",People drowning in the west: 10,"Probability of alternate 
rescue boat reaching them: 35%","Plan: Change your course to head towards the group, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 10 people in the west were saved.",10,65, people drowing in the west,People drowning in the east: 6,015:019,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,1,1,1,,,,,,,428.79810709999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.8171715999997,None,,,,,,,,,,,,,,,n,2.835087499999645,423.93923949999953,None,426.7967578000007,None,423.93923949999953,None,423.93923949999953,None,423.93923949999953,None,423.93923949999953,None,423.93923949999953,None,423.93923949999953,None,423.93923949999953,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• However, if you do this, the people drowning in the east will certainly die

• If you do nothing and hold your course, the people in the east will be saved, but you will not reach the people to the west in time to save them",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the group, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 3 people in the east lived.

The ","The 3 people in the east died.

The 8 people in the west were saved.",8,50, people drowing in the west,People drowning in the east: 3,015:019,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,2,2,2,,,,,,,441.45883440000034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.4764040000009,None,,,,,,,,,,,,,,,n,2.6143367999993643,436.8160977999996,None,439.4572884999998,None,436.8160977999996,None,436.8160977999996,None,436.8160977999996,None,436.8160977999996,None,436.8160977999996,None,436.8160977999996,None,436.8160977999996,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the only other rescue boat in the area is much further to the west, so would be unable to reach the people in the east

• But there is a chance the rescue boat will reach the group drowning to the west",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 65%","Plan: Change your course to head towards the group, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 2 people in the east lived.

The ","The 2 people in the east died.

The 8 people in the west were saved.",8,35, people drowing in the west,People drowning in the east: 2,015:019,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,3,3,3,,,,,,,476.02066399999967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.0376735000009,None,,,,,,,,,,,,,,,n,24.519600499999797,449.4707053000002,None,474.0192771000002,None,449.4707053000002,None,449.4707053000002,None,449.4707053000002,None,449.4707053000002,None,449.4707053000002,None,449.4707053000002,None,449.4707053000002,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,015:019,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",People drowning in the west: 12,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the group, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 12 people in the west were saved.",12,50, people drowing in the west,People drowning in the east: 6,019:023,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,482.0260579000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.04663729999993,None,space,32.5041326999999,484.04663729999993,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately",Repairmen on main track: 6,Probability of evacuation: 35%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,50, repairmen on the main track,Repairmen on sidetrack: 3,019:023,,,,,,,,,,,,,,,,,0,3,3,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.5952114000011,None,space,1.939363699999376,516.5952114000011,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• The boxcar is headed towards a tunneled section in which a group of repairmen are working

• You can flip the switch, redirecting the boxcar to a sidetrack on which there is a smaller group of repairman working",Repairmen on main track: 7,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmenon the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 3,019:023,,,,,,,,,,,,,,,,,0,3,3,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.5848729999998,None,space,0.9095962999999756,518.5848729999998,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the other repairman on the sidetrack will be hit by the boxcar and will die",Repairmen on main track: 5,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 5 repairmen on the track were saved.",5,65, repairmen on the main track,Repairmen on sidetrack: 2,019:023,,,,,,,,,,,,,,,,,0,3,3,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.561066100001,None,space,0.7972296999996615,519.561066100001,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",People drowning in the west: 12,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the group, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 12 people in the west were saved.",12,50, people drowing in the west,People drowning in the east: 6,019:023,,,,,,,,,,,,,,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,540.4078382999996,None,,,,,,,522.3777946000009,None,,,,,,,,,,,,,,,,,,,,,542.4269497999994,None,,,,,,,,,,,,,,,n,5.978478500001074,532.3957403000004,None,538.4061284,None,532.3957403000004,None,532.3957403000004,None,532.3957403000004,None,532.3957403000004,None,532.3957403000004,None,532.3957403000004,None,532.3957403000004,None,3,001,2019_Nov_21_1155,MoralSRBinaryChoice,3.2.4,60.12397563795828,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.4125077000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
