Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,rows2,CueInst,MainLeftText,MainRightText,MainDilemmas,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group ","The one worker in Room B died. 

The 7 workers in Room A were saved.",7,65, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 7","Probability of 
escape: 65%","• You are the building manager

• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the one worker there",,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.40476320002927,None,space,7.48128100001486,368.40476320002927,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group ","The one worker in Room B died. 

The 6 workers in Room A were saved.",6,50, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 6","Probability of 
escape: 50%","• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the one worker in Room B",,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.92725230002543,None,space,6.070417800045107,375.92725230002543,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group ","The one worker in Room B died. 

The 11 workers in Room A were saved.",11,65, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 11","Probability of 
escape: 65%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.03764819999924,None,space,2.040030599979218,382.03764819999924,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group ","The one worker in Room B died. 

The 4 workers in Room A were saved.",4,35, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 4","Probability of 
escape: 35%","• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system

• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there",,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,406.39426099997945,None,,,,,,,386.1102973999805,None,,,,,,,,,,,,,,,,,,,408.4207224000129,None,,,,,,,,,,,,,,,y,8.178275100013707,396.1873958000215,None,404.39323980000336,None,396.1873958000215,None,396.1873958000215,None,396.1873958000215,None,396.1873958000215,None,396.1873958000215,None,396.1873958000215,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group ","The one worker in Room B died. 

The 7 workers in Room A were saved.",7,65, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 7","Probability of 
escape: 65%","• You are the building manager

• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the one worker there",,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,422.3908381999936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,424.41293350001797,None,,,,,,,,,,,,,,,n,5.955356799997389,414.41040860000066,None,420.3891641999944,None,414.41040860000066,None,414.41040860000066,None,414.41040860000066,None,414.41040860000066,None,414.41040860000066,None,414.41040860000066,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group ","The one worker in Room B died. 

The 6 workers in Room A were saved.",6,50, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 6","Probability of 
escape: 50%","• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the one worker in Room B",,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,435.2509546999936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,437.2722653999808,None,,,,,,,,,,,,,,,n,2.824031699972693,430.4063188,None,433.2493192999973,None,430.4063188,None,430.4063188,None,430.4063188,None,430.4063188,None,430.4063188,None,430.4063188,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group ","The one worker in Room B died. 

The 11 workers in Room A were saved.",11,65, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 11","Probability of 
escape: 65%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,449.41351899999427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,451.43659559998196,None,,,,,,,,,,,,,,,n,4.117800900014117,443.2719571000198,None,447.41272010002285,None,443.2719571000198,None,443.2719571000198,None,443.2719571000198,None,443.2719571000198,None,443.2719571000198,None,443.2719571000198,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,,,,,,,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
",,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group  ","The one person in the car died. 

The 3 people on the bus were saved.",3,35, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 3","Probability bus will 
drive to safety: 35%","• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge

• If nothing is done, the bus will soon plummet and all of these people will be killed",,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,455.4175830000313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.48820690001594,None,space,8.990030199987814,457.48820690001594,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group  ","The one person in the car died. 

The 17 people on the bus were saved.",17,50, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 17","Probability bus will 
drive to safety: 50%","• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board

• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the one person in that car will be killed",,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.5654241000302,None,space,18.00849640002707,466.5654241000302,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group  ","The one person in the car died. 

The 12 people on the bus were saved.",12,65, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 12","Probability bus will 
drive to safety: 65%","• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.6256223000237,None,space,5.900227200007066,484.6256223000237,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group  ","The one person in the car died. 

The 14 people on the bus were saved.",14,35, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 14","Probability bus will 
drive to safety: 35%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.561938000028,None,space,2.9077564000035636,490.561938000028,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group  ","The one person in the car died. 

The 3 people on the bus were saved.",3,35, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 3","Probability bus will 
drive to safety: 35%","• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge

• If nothing is done, the bus will soon plummet and all of these people will be killed",,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,513.3162415000261,None,,,,,,,495.50251210003626,None,,,,,,,,,,,,,,,,,,,515.3363800999941,None,,,,,,,,,,,,,,,n,5.746264700021129,505.5486833000323,None,511.3144186999998,None,505.5486833000323,None,505.5486833000323,None,505.5486833000323,None,505.5486833000323,None,505.5486833000323,None,505.5486833000323,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group  ","The one person in the car died. 

The 17 people on the bus were saved.",17,50, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 17","Probability bus will 
drive to safety: 50%","• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board

• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the one person in that car will be killed",,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,530.86458579998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,532.8821210000315,None,,,,,,,,,,,,,,,y,7.4992485999828205,521.33174709999,None,528.8624699999928,None,521.33174709999,None,521.33174709999,None,521.33174709999,None,521.33174709999,None,521.33174709999,None,521.33174709999,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group  ","The one person in the car died. 

The 12 people on the bus were saved.",12,65, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 12","Probability bus will 
drive to safety: 65%","• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,545.4098533000215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,547.4321389999823,None,,,,,,,,,,,,,,,n,4.507668400008697,538.882233500015,None,543.4087152000284,None,538.882233500015,None,538.882233500015,None,538.882233500015,None,538.882233500015,None,538.882233500015,None,538.882233500015,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group  ","The one person in the car died. 

The 14 people on the bus were saved.",14,35, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 14","Probability bus will 
drive to safety: 35%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,558.1867163000279,None,,,,,,,,,,,,,,,,,,,,,,,,,,,560.2060360999894,None,,,,,,,,,,,,,,,n,2.73280200001318,553.4250829999801,None,556.1852459000074,None,553.4250829999801,None,553.4250829999801,None,553.4250829999801,None,553.4250829999801,None,553.4250829999801,None,553.4250829999801,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,IMMERSE,DISTANCE,,,,,,,,,,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ",,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Change your course to head towards the group, leaving the man to die

Do nothing: The man will live, the group has a chance of surviving","The one man in the east lived.

The group  ","The one man in the east died.

The 6 individuals drowning in the west were saved.",6,35, individuals drowing to the west,008:0012,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Individuals drowning
 to the west: 6","Probability of alternate 
rescue boat reaching them: 35%","• You are driving a rescue boat in the ocean, heading east towards one drowning man

• You receive a distress signal informing you that a small boat has capsized in the opposite direction, and all the people aboard are now drowning",,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,564.1920059000258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.2349233999848,None,space,4.643612699990626,566.2349233999848,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Change your course to head towards the group, leaving the man to die

Do nothing: The man will live, the group has a chance of surviving","The one man in the east lived.

The group  ","The one man in the east died.

The 11 individuals drowning in the west were saved.",11,50, individuals drowing to the west,008:0012,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Individuals drowning
 to the west: 11","Probability of alternate 
rescue boat reaching them: 50%","• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them

• However, if you do this, the one man to the east will certainly die. If you do nothing and hold your course, the one man will be saved, but you will not reach the people to the west in time to save them",,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.9580890000216,None,space,5.935841700003948,570.9580890000216,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Change your course to head towards the group, leaving the man to die

Do nothing: The man will live, the group has a chance of surviving","The one man in the east lived.

The group  ","The one man in the east died.

The 4 individuals drowning in the west were saved.",4,65, individuals drowing to the west,008:0012,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Individuals drowning
 to the west: 4","Probability of alternate 
rescue boat reaching them: 65%","• You also know that the only other rescue boat in the area is much further to the west, so would be unable to reach the one drowning man

• But there is a chance the rescue boat will reach the group drowning to the west",,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.9450457000057,None,space,2.620930099976249,576.9450457000057,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Change your course to head towards the group, leaving the man to die

Do nothing: The man will live, the group has a chance of surviving","The one man in the east lived.

The group  ","The one man in the east died.

The 7 individuals drowning in the west were saved.",7,50, individuals drowing to the west,008:0012,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Individuals drowning
 to the west: 7","Probability of alternate 
rescue boat reaching them: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",,,,,,,,,,,,,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.6022241000319,None,space,1.6756716000381857,579.6022241000319,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Change your course to head towards the group, leaving the man to die

Do nothing: The man will live, the group has a chance of surviving","The one man in the east lived.

The group  ","The one man in the east died.

The 6 individuals drowning in the west were saved.",6,35, individuals drowing to the west,008:0012,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Individuals drowning
 to the west: 6","Probability of alternate 
rescue boat reaching them: 35%","• You are driving a rescue boat in the ocean, heading east towards one drowning man

• You receive a distress signal informing you that a small boat has capsized in the opposite direction, and all the people aboard are now drowning",,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,603.1916186999879,None,,,,,,,583.3073763999855,None,,,,,,,,,,,,,,,,,,,605.2138970000087,None,,,,,,,,,,,,,,,n,7.809302699984983,593.3566246000119,None,601.1897579000215,None,593.3566246000119,None,593.3566246000119,None,593.3566246000119,None,593.3566246000119,None,593.3566246000119,None,593.3566246000119,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Change your course to head towards the group, leaving the man to die

Do nothing: The man will live, the group has a chance of surviving","The one man in the east lived.

The group  ","The one man in the east died.

The 11 individuals drowning in the west were saved.",11,50, individuals drowing to the west,008:0012,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Individuals drowning
 to the west: 11","Probability of alternate 
rescue boat reaching them: 50%","• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them

• However, if you do this, the one man to the east will certainly die. If you do nothing and hold your course, the one man will be saved, but you will not reach the people to the west in time to save them",,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,1,1,1,,,,,,,615.6352893000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,617.6568182000192,None,,,,,,,,,,,,,,,n,2.401296900003217,611.2131665000343,None,613.6327836000128,None,611.2131665000343,None,611.2131665000343,None,611.2131665000343,None,611.2131665000343,None,611.2131665000343,None,611.2131665000343,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Change your course to head towards the group, leaving the man to die

Do nothing: The man will live, the group has a chance of surviving","The one man in the east lived.

The group  ","The one man in the east died.

The 4 individuals drowning in the west were saved.",4,65, individuals drowing to the west,008:0012,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Individuals drowning
 to the west: 4","Probability of alternate 
rescue boat reaching them: 65%","• You also know that the only other rescue boat in the area is much further to the west, so would be unable to reach the one drowning man

• But there is a chance the rescue boat will reach the group drowning to the west",,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,2,2,2,,,,,,,637.3196154999896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,639.3446075000102,None,,,,,,,,,,,,,,,n,11.639084000024013,623.654831300024,None,635.3184829999809,None,623.654831300024,None,623.654831300024,None,623.654831300024,None,623.654831300024,None,623.654831300024,None,623.654831300024,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,"Plan: Change your course to head towards the group, leaving the man to die

Do nothing: The man will live, the group has a chance of surviving","The one man in the east lived.

The group  ","The one man in the east died.

The 7 individuals drowning in the west were saved.",7,50, individuals drowing to the west,008:0012,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Individuals drowning
 to the west: 7","Probability of alternate 
rescue boat reaching them: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,3,3,3,,,,,,,655.8522025999846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,657.875506100012,None,,,,,,,,,,,,,,,n,8.48235730000306,645.339489200036,None,653.8495881999843,None,645.339489200036,None,645.339489200036,None,645.339489200036,None,645.339489200036,None,645.339489200036,None,645.339489200036,None,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
,,DISTANCE,IMMERSE,,,,,,,,,,008:0012,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
",,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1230,MoralSRBinaryChoice,3.2.4,60.049204322183236,
