Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,MainLeftText,MainRightText,MainDilemmas,riskyAdDis,Evgamble,sureGroup,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 6 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,000:005,Workers in Room A: 12,"Probability of 
escape: 50%","• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",EQUAL,6,6,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,278.56942389998585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.58845790009946,None,,,,,,,,,,,,,,,n,11.60966630000621,264.9423706999514,None,276.56769490009174,None,264.9423706999514,None,264.9423706999514,None,264.9423706999514,None,264.9423706999514,None,264.9423706999514,None,264.9423706999514,None,264.9423706999514,None,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,DE-EMPHASIZE,EMPHASIZE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The workers in Room B lived.

The group ","The workers in Room B died. 

The 11 workers in Room A were saved.",5,65, workers in Room A,Workers in Room B: 4,000:005,Workers in Room A: 5,"Probability of 
escape: 65%","Consider each of the following scenarios and, for each one, determine what course of action you will take.",dis,3.25,4,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,309.9455691999756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.9639155000914,None,,,,,,,,,,,,,,,n,21.33854560018517,286.5893401999492,None,307.9438293001149,None,286.5893401999492,None,286.5893401999492,None,286.5893401999492,None,286.5893401999492,None,286.5893401999492,None,286.5893401999492,None,286.5893401999492,None,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,000:005,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,EMPHASIZE,DE-EMPHASIZE,,,,"Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The people in the car lived.

The group  ","The people in the car died. 

The 3 people on the bus were saved.",7,50, people on the bus,People in the car: 2,005:009,People on bus: 7,"Probability bus will 
drive to safety: 35%","• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
",dis,3.5,2,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,315.95070859999396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.00425960007124,None,space,11.651872500078753,318.00425960007124,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,EMPHASIZE,DE-EMPHASIZE,,,,"Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The people in the car lived.

The group  ","The people in the car died. 

The 6 people on the bus were saved.",9,65, people on the bus,People in the car: 6,005:009,People on bus: 9,"Probability bus will 
drive to safety: 35%","• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board",EQUAL,~6,6,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.7103339000605,None,space,1.145750799914822,329.7103339000605,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,EMPHASIZE,DE-EMPHASIZE,,,,"Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The people in the car lived.

The group  ","The people in the car died. 

The 17 people on the bus were saved.",6,35, people on the bus,People in the car: 2,005:009,People on bus: 6,"Probability bus will 
drive to safety: 50%","• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed",EQUAL,~2,2,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.9213436001446,None,space,0.2870230998378247,330.9213436001446,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,EMPHASIZE,DE-EMPHASIZE,,,,"Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The people in the car lived.

The group  ","The people in the car died. 

The 12 people on the bus were saved.",10,65, people on the bus,People in the car: 7,005:009,People on bus: 10,"Probability bus will 
drive to safety: 65%","• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",ad,6.5,7,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.2596706999466,None,space,0.17233850015327334,331.2596706999466,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,EMPHASIZE,DE-EMPHASIZE,,,,"Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The people in the car lived.

The group  ","The people in the car died. 

The 3 people on the bus were saved.",7,50, people on the bus,People in the car: 2,005:009,People on bus: 7,"Probability bus will 
drive to safety: 35%","• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
",dis,3.5,2,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,353.09798060008325,None,,,,,,,333.4650195001159,None,,,,,,,,,,,,,,,,,,,,,355.1229779999703,None,,,,,,,,,,,,,,,n,7.574065200053155,343.50620279996656,None,351.09654180007055,None,343.50620279996656,None,343.50620279996656,None,343.50620279996656,None,343.50620279996656,None,343.50620279996656,None,343.50620279996656,None,343.50620279996656,None,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,EMPHASIZE,DE-EMPHASIZE,,,,"Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The people in the car lived.

The group  ","The people in the car died. 

The 6 people on the bus were saved.",9,65, people on the bus,People in the car: 6,005:009,People on bus: 9,"Probability bus will 
drive to safety: 35%","• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board",EQUAL,~6,6,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,366.9759905000683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.99474380002357,None,,,,,,,,,,,,,,,n,3.843749500112608,361.108273900114,None,364.97519599995576,None,361.108273900114,None,361.108273900114,None,361.108273900114,None,361.108273900114,None,361.108273900114,None,361.108273900114,None,361.108273900114,None,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,EMPHASIZE,DE-EMPHASIZE,,,,"Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The people in the car lived.

The group  ","The people in the car died. 

The 17 people on the bus were saved.",6,35, people on the bus,People in the car: 2,005:009,People on bus: 6,"Probability bus will 
drive to safety: 50%","• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed",EQUAL,~2,2,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,395.09975589998066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.1176287000999,None,,,,,,,,,,,,,,,n,18.08525100001134,374.9946381000336,None,393.09797460003756,None,374.9946381000336,None,374.9946381000336,None,374.9946381000336,None,374.9946381000336,None,374.9946381000336,None,374.9946381000336,None,374.9946381000336,None,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,EMPHASIZE,DE-EMPHASIZE,,,,"Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The people in the car lived.

The group  ","The people in the car died. 

The 12 people on the bus were saved.",10,65, people on the bus,People in the car: 7,005:009,People on bus: 10,"Probability bus will 
drive to safety: 65%","• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",ad,6.5,7,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,407.10947629995644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.16456170007586,None,,,,,,,,,,,,,,,n,1.961071299854666,403.1188678999897,None,405.1078145999927,None,403.1188678999897,None,403.1188678999897,None,403.1188678999897,None,403.1188678999897,None,403.1188678999897,None,403.1188678999897,None,403.1188678999897,None,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,005:009,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_20_1618,MoralSRBinaryChoice,3.2.4,59.82567992974063,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.114239100134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
