Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",Workers in Room A: 12,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 6 workers in Room B lived.

The ","The 6 workers in Room B died. 

The 12 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,202.47395890000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.4908792999995,None,,,,,,,,,,,,,,,n,11.978297499999826,188.47559659999934,None,200.47230049999962,None,188.47559659999934,None,188.47559659999934,None,188.47559659999934,None,188.47559659999934,None,188.47559659999934,None,188.47559659999934,None,188.47559659999934,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Workers in Room A: 5,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 5 workers in Room A were saved.",5,65, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,215.06759210000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0851218000007,None,,,,,,,,,,,,,,,n,2.5539872000008472,210.49154679999992,None,213.0658698999996,None,210.49154679999992,None,210.49154679999992,None,210.49154679999992,None,210.49154679999992,None,210.49154679999992,None,210.49154679999992,None,210.49154679999992,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,221.07225319999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.1224284,None,space,2.610838099999455,223.1224284,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board",People on bus: 9,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 6 people in the car lived.

The ","The 6 people in the car died. 

The 9 people on the bus were saved.",9,65, people on the bus,People in the car: 6,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.79131009999946,None,space,5.045936900000015,225.79131009999946,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed",People on bus: 6,"Probability bus will 
drive to safety: 50%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 6 people on the bus were saved.",6,35, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.90437650000058,None,space,1.2768639999994775,230.90437650000058,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",People on bus: 10,"Probability bus will 
drive to safety: 65%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 7 people in the car lived.

The ","The 7 people in the car died. 

The 10 people on the bus were saved.",10,65, people on the bus,People in the car: 7,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.2257341000004,None,space,2.2593577000006917,232.2257341000004,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 4 people in the car lived.

The ","The 4 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 4,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.51298759999918,None,space,1.1561072999993485,234.51298759999918,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,255.71766349999962,None,,,,,,,237.70265090000066,None,,,,,,,,,,,,,,,,,,,,,257.7369226999999,None,,,,,,,,,,,,,,,n,5.941663800000242,247.74345750000066,None,253.7160569000007,None,247.74345750000066,None,247.74345750000066,None,247.74345750000066,None,247.74345750000066,None,247.74345750000066,None,247.74345750000066,None,247.74345750000066,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board",People on bus: 9,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 6 people in the car lived.

The ","The 6 people in the car died. 

The 9 people on the bus were saved.",9,65, people on the bus,People in the car: 6,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,269.2455695999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.2625896999998,None,,,,,,,,,,,,,,,n,3.4932960999994975,263.7279763000006,None,267.2438865000004,None,263.7279763000006,None,263.7279763000006,None,263.7279763000006,None,263.7279763000006,None,263.7279763000006,None,263.7279763000006,None,263.7279763000006,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed",People on bus: 6,"Probability bus will 
drive to safety: 50%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 6 people on the bus were saved.",6,35, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,281.3721888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.38642400000026,None,,,,,,,,,,,,,,,n,2.08719740000015,277.26192549999905,None,279.3706280999995,None,277.26192549999905,None,277.26192549999905,None,277.26192549999905,None,277.26192549999905,None,277.26192549999905,None,277.26192549999905,None,277.26192549999905,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",People on bus: 10,"Probability bus will 
drive to safety: 65%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 7 people in the car lived.

The ","The 7 people in the car died. 

The 10 people on the bus were saved.",10,65, people on the bus,People in the car: 7,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,294.5665461999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.58403240000007,None,,,,,,,,,,,,,,,y,3.1440462999999,289.38909160000003,None,292.5649247000001,None,289.38909160000003,None,289.38909160000003,None,289.38909160000003,None,289.38909160000003,None,289.38909160000003,None,289.38909160000003,None,289.38909160000003,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 4 people in the car lived.

The ","The 4 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 4,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,307.17714440000054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.1921646999999,None,,,,,,,,,,,,,,,n,2.5732996000006096,302.5839089000001,None,305.1753365000004,None,302.5839089000001,None,302.5839089000001,None,302.5839089000001,None,302.5839089000001,None,302.5839089000001,None,302.5839089000001,None,302.5839089000001,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You are driving a rescue boat in the ocean, heading east towards a group of drowning people

• You receive a distress signal informing you that a small boat has capsized in the opposite direction",People drowning in the west: 11,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 5 people in the east lived.

The ","The 5 people in the east died.

The 11 people in the west were saved.",11,50, people in the west,"People drowning in 
the east: 5",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,313.18204949999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.22387030000027,None,space,3.6452879999997094,315.22387030000027,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• All of the people aboard the capsized boat are now drowning

• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them",People drowning in the west: 10,"Probability of alternate 
rescue boat reaching them: 35%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 10 people in the west were saved.",10,65, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.9144620999996,None,space,2.466753799999424,318.9144620999996,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• However, if you do this, the people drowning in the east will certainly die

• If you do nothing and hold your course, the people in the east will be saved, but you will not reach the people to the west in time to save them",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 3 people in the east lived.

The ","The 3 people in the east died.

The 8 people in the west were saved.",8,50, people in the west,"People drowning in 
the east: 3",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.4390949999997,None,space,4.102047399999719,321.4390949999997,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the only other rescue boat in the area is much further to the west, so would be unable to reach the people in the east

• But there is a chance the rescue boat will reach the group drowning to the west",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 65%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 2 people in the east lived.

The ","The 2 people in the east died.

The 8 people in the west were saved.",8,35, people in the west,"People drowning in 
the east: 2",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.58094150000034,None,space,21.40009529999952,325.58094150000034,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",People drowning in the west: 12,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 12 people in the west were saved.",12,50, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.02162379999936,None,space,2.3274423999991996,347.02162379999936,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You are driving a rescue boat in the ocean, heading east towards a group of drowning people

• You receive a distress signal informing you that a small boat has capsized in the opposite direction",People drowning in the west: 11,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 5 people in the east lived.

The ","The 5 people in the east died.

The 11 people in the west were saved.",11,50, people in the west,"People drowning in 
the east: 5",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,376.06758979999904,None,,,,,,,351.3805188000006,None,,,,,,,,,,,,,,,,,,,,,378.0841550999994,None,,,,,,,,,,,,,,,n,12.61723499999971,361.41979750000064,None,374.0658925000007,None,361.41979750000064,None,361.41979750000064,None,361.41979750000064,None,361.41979750000064,None,361.41979750000064,None,361.41979750000064,None,361.41979750000064,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• All of the people aboard the capsized boat are now drowning

• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them",People drowning in the west: 10,"Probability of alternate 
rescue boat reaching them: 35%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 10 people in the west were saved.",10,65, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,1,1,1,,,,,,,391.5971110999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.61555690000023,None,,,,,,,,,,,,,,,n,5.485511699998824,384.08762469999965,None,389.5953981999992,None,384.08762469999965,None,384.08762469999965,None,384.08762469999965,None,384.08762469999965,None,384.08762469999965,None,384.08762469999965,None,384.08762469999965,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• However, if you do this, the people drowning in the east will certainly die

• If you do nothing and hold your course, the people in the east will be saved, but you will not reach the people to the west in time to save them",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 3 people in the east lived.

The ","The 3 people in the east died.

The 8 people in the west were saved.",8,50, people in the west,"People drowning in 
the east: 3",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,2,2,2,,,,,,,404.4744157999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.4927544000002,None,,,,,,,,,,,,,,,n,2.837660799999867,399.6164155999995,None,402.47288169999956,None,399.6164155999995,None,399.6164155999995,None,399.6164155999995,None,399.6164155999995,None,399.6164155999995,None,399.6164155999995,None,399.6164155999995,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the only other rescue boat in the area is much further to the west, so would be unable to reach the people in the east

• But there is a chance the rescue boat will reach the group drowning to the west",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 65%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 2 people in the east lived.

The ","The 2 people in the east died.

The 8 people in the west were saved.",8,35, people in the west,"People drowning in 
the east: 2",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,3,3,3,,,,,,,420.1542709999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.17005419999987,None,,,,,,,,,,,,,,,n,5.643854800000554,412.49003059999995,None,418.1525418000001,None,412.49003059999995,None,412.49003059999995,None,412.49003059999995,None,412.49003059999995,None,412.49003059999995,None,412.49003059999995,None,412.49003059999995,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",People drowning in the west: 12,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 12 people in the west were saved.",12,50, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,4,4,4,,,,,,,433.0816293000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.1001326000005,None,,,,,,,,,,,,,,,y,2.8869388999992225,428.17471189999924,None,431.0800103999991,None,428.17471189999924,None,428.17471189999924,None,428.17471189999924,None,428.17471189999924,None,428.17471189999924,None,428.17471189999924,None,428.17471189999924,None,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately",Repairmen on main track: 6,Probability of evacuation: 35%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,50, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,439.0863582999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.1242748000004,None,space,4.032716400000936,441.1242748000004,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• The boxcar is headed towards a tunneled section in which a group of repairmen are working

• You can flip the switch, redirecting the boxcar to a sidetrack on which there is a smaller group of repairman working",Repairmen on main track: 7,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmenon the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.20595909999975,None,space,4.431030199999441,445.20595909999975,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the other repairman on the sidetrack will be hit by the boxcar and will die",Repairmen on main track: 5,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 5 repairmen on the track were saved.",5,65, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.7008896999996,None,space,12.44808809999995,449.7008896999996,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the workmen on the sidetrack would evacuate in time",Repairmen on main track: 6,Probability of evacuation:  50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 4 repairmen on the sidetrack lived.

The ","The 4 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,65, repairmen on the main track,Repairmen on sidetrack: 4,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.206725,None,space,6.47034739999981,462.206725,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Repairmen on main track: 7,Probability of evacuation: 50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.70493499999975,None,space,1.2680743000000803,468.70493499999975,None,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1218,MoralSRBinaryChoice,3.2.4,59.82492832971001,
