Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,rows2,CueInst,MainLeftText,MainRightText,MainDilemmas,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group","The one worker in Room B died. 

The 6 workers in Room A were saved.",6,50, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 6","Probability of 
escape: 50%","• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the one worker in Room B",,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.8006445999927,None,space,0.6430939999991097,668.8006445999927,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group","The one worker in Room B died. 

The 11 workers in Room A were saved.",11,65, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 11","Probability of 
escape: 65%","Consider each of the following scenarios and, for each one, determine how morally acceptable you think it would be to hit the button that closes the vent door and diverts the lethal gas to Room B.",,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.5337913999974,None,space,2.7502687999949558,669.5337913999974,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The 4 workers in Room A ","The one worker in Room B died. 

The 4 workers in Room A were saved.",4,35, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 4","Probability of 
escape: 35%","• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system

• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there",,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,702.9668687999947,None,,,,,,,674.3014030999911,None,,,,,,,,,,,,,,,,,,,705.0669288999925,None,,,,,,,,,n,9.509465600000112,691.4335881000006,None,700.9670602999977,None,691.4335881000006,None,691.4335881000006,None,691.4335881000006,None,691.4335881000006,None,691.4335881000006,None,691.4335881000006,None,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one worker in Room B lived.

The group","The one worker in Room B died. 

The 7 workers in Room A were saved.",7,65, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 7","Probability of 
escape: 65%","• You are the building manager

• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the one worker there",,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,797.0659565999958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,799.0999248000007,None,,,,,,,,,n,84.03330110000388,711.0152428000001,None,795.0652617000014,None,711.0152428000001,None,711.0152428000001,None,711.0152428000001,None,711.0152428000001,None,711.0152428000001,None,711.0152428000001,None,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group","The one worker in Room B died. 

The 6 workers in Room A were saved.",6,50, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 6","Probability of 
escape: 50%","• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the one worker in Room B",,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,836.2494967999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,838.2981412999943,None,,,,,,,,,n,29.106546100010746,805.1137070999976,None,834.248797399996,None,805.1137070999976,None,805.1137070999976,None,805.1137070999976,None,805.1137070999976,None,805.1137070999976,None,805.1137070999976,None,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,DISTANCE,IMMERSE,,,,"Plan: Hit the button to divert the gas to Room B, killing the one worker there

Do nothing: The one worker will live, the group in Room A has a chance of escaping","The one  worker in Room B lived.

The group","The one worker in Room B died. 

The 11 workers in Room A were saved.",11,65, workers in Room A,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
","Workers in 
Room A: 11","Probability of 
escape: 65%","Consider each of the following scenarios and, for each one, determine how morally acceptable you think it would be to hit the button that closes the vent door and diverts the lethal gas to Room B.",,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,848.8990704000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,851.0316050999973,None,,,,,,,,,n,2.584913400001824,844.2963949999976,None,846.8979308999988,None,844.2963949999976,None,844.2963949999976,None,844.2963949999976,None,844.2963949999976,None,844.2963949999976,None,844.2963949999976,None,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,DISTANCE,IMMERSE,,,,,,,,,,000:004,"In the following conditions, we would like you to take a distanced approach. Treat your decisions as if you were an objective observer, that is, someone who is watching the scene but not directly involved in it. 

For the next few seconds, distance yourself from the circumstance and the people in the situation.
",,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,854.9148684999964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group","The one person in the car died. 

The 3 people on the bus were saved.",3,35, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 3","Probability bus will 
drive to safety: 35%","• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge

• If nothing is done, the bus will soon plummet and all of these people will be killed",,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857.2642954000039,None,space,6.808353600004921,857.2642954000039,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group","The one person in the car died. 

The 17 people on the bus were saved.",17,50, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 17","Probability bus will 
drive to safety: 50%","• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board

• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the one person in that car will be killed",,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.2317280999996,None,space,0.23745970000163652,864.2317280999996,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group","The one person in the car died. 

The 12 people on the bus were saved.",12,65, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 12","Probability bus will 
drive to safety: 65%","• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.5807241000002,None,space,0.19735629999195226,864.5807241000002,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group","The one person in the car died. 

The 14 people on the bus were saved.",14,35, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 14","Probability bus will 
drive to safety: 35%","Consider each of the following scenarios and, for each one, determine how morally acceptable you think it would be for you to move your crane to push the bus, causing part of the bridge with a single car to collapse.",,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.8807092999923,None,space,0.6003106999996817,864.8807092999923,None,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group","The one person in the car died. 

The 3 people on the bus were saved.",3,35, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 3","Probability bus will 
drive to safety: 35%","• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge

• If nothing is done, the bus will soon plummet and all of these people will be killed",,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,889.4303348999965,None,,,,,,,867.5295789999946,None,,,,,,,,,,,,,,,,,,,891.5643492999952,None,,,,,,,,,n,2.6982350000034785,884.7154625999974,None,887.4305158999923,None,884.7154625999974,None,884.7154625999974,None,884.7154625999974,None,884.7154625999974,None,884.7154625999974,None,884.7154625999974,None,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group","The one person in the car died. 

The 17 people on the bus were saved.",17,50, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 17","Probability bus will 
drive to safety: 50%","• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board

• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the one person in that car will be killed",,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,901.9633808999934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,903.9969898999989,None,,,,,,,,,n,2.438050500000827,897.4978163999913,None,899.9635526999919,None,897.4978163999913,None,897.4978163999913,None,897.4978163999913,None,897.4978163999913,None,897.4978163999913,None,897.4978163999913,None,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,IMMERSE,DISTANCE,,,,"Plan: Move your crane to push the bus, certainly killing the person in the car

Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The one person in the car lived.

The group","The one person in the car died. 

The 12 people on the bus were saved.",12,65, people on the bus,004:008,"In the following conditions, we would like you to take an involved approach. Treat your decisions as if you are part of the situation, that is, as someone who is in charge of and responsible for the results of the decision. 

For the next few seconds, imagine that you are one of the people in this scene and think of how you would feel and react in this circumstance. ","People on 
bus: 12","Probability bus will 
drive to safety: 65%","• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,915.3797056999902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,917.4280494999985,None,,,,,,,,,n,3.3370384000008926,910.0134606999927,None,913.3799079000019,None,910.0134606999927,None,910.0134606999927,None,910.0134606999927,None,910.0134606999927,None,910.0134606999927,None,910.0134606999927,None,1,001,2019_Oct_09_1542,MoralSRBinaryChoice,3.2.0,60.0540366211318,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926.8464043999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,1.3899600000004284,923.4279659000022,None,924.8463250999921,None,923.4279659000022,None,923.4279659000022,None,923.4279659000022,None,923.4279659000022,None,923.4279659000022,None,923.4279659000022,None,,,,,,,
